video_id,date,title,mp3_url
fbc-070719ss-i-trust-in-thy-word,20190707,I Trust In Thy Word,http://fbcministries.net/sermons/070719SS-I_Trust_In_Thy_Word.mp3
fbc-070319mw-he-will-help-you,20190703,He Will Help You,http://fbcministries.net/sermons/070319MW-He_Will_Help_You.mp3
fbc-063019ss-lifelong-obedience,20190630,Lifelong Obedience,http://fbcministries.net/sermons/063019SS-Lifelong_Obedience.mp3
fbc-063019am-speak-every-man-truth,20190630,Speak Every Man Truth,http://fbcministries.net/sermons/063019AM-Speak_Every_Man_Truth.mp3
fbc-062319am-im-different-now,20190623,Im Different Now,http://fbcministries.net/sermons/062319AM-Im_Different_Now.mp3
fbc-062319ss-cling-to-the-word,20190623,Cling To The Word,http://fbcministries.net/sermons/062319SS-Cling_To_The_Word.mp3
fbc-061919mw-he-is-able-to-succour-them-that-are-tempted,20190619,He Is Able To Succour Them That Are Tempted,http://fbcministries.net/sermons/061919MW-He_Is_Able_To_Succour_Them_That_Are_Tempted.mp3
fbc-061619am-david-charged-solomon-his-son,20190616,David Charged Solomon His Son,http://fbcministries.net/sermons/061619AM-David_Charged_Solomon_His_Son.mp3
fbc-061619ss-open-thou-mine-eyes,20190616,Open Thou Mine Eyes,http://fbcministries.net/sermons/061619SS-Open_Thou_Mine_Eyes.mp3
fbc-061219mw-having-obtained-help-of-god,20190612,Having Obtained Help Of God,http://fbcministries.net/sermons/061219MW-Having_Obtained_Help_Of_God.mp3
fbc-060919am-the-word-of-god-will-build-you-up,20190609,The Word Of God Will Build You Up,http://fbcministries.net/sermons/060919AM-The_Word_Of_God_Will_Build_You_Up.mp3
fbc-060919ss-let-me-not-wander-from-thy-commandments,20190609,Let Me Not Wander From Thy Commandments,http://fbcministries.net/sermons/060919SS-Let_Me_Not_Wander_From_Thy_Commandments.mp3
fbc-060519mw-have-mercy-on-me,20190605,Have Mercy On Me,http://fbcministries.net/sermons/060519MW-Have_Mercy_On_Me.mp3
fbc-052919mw-our-god-will-help,20190529,Our God Will Help,http://fbcministries.net/sermons/052919MW-Our_God_Will_Help.mp3
fbc-052619ss-commanded-to-obey,20190526,Commanded To Obey,http://fbcministries.net/sermons/052619SS-Commanded_To_Obey.mp3
fbc-051919pm-bring-them-in,20190519,Bring Them In,http://fbcministries.net/sermons/051919PM-Bring_Them_In.mp3
fbc-051219am-she-hid-him-three-months,20190512,She Hid Him Three Months,http://fbcministries.net/sermons/051219AM-She_Hid_Him_Three_Months.mp3
fbc-051219ss-how-shall-they-hear,20190512,How Shall They Hear,http://fbcministries.net/sermons/051219SS-How_Shall_They_Hear.mp3
fbc-050519pm-the-harvest-is-plenteous,20190505,The Harvest Is Plenteous,http://fbcministries.net/sermons/050519PM-The_Harvest_Is_Plenteous.mp3
fbc-050119mw-god-hath-power-to-help,20190501,God Hath Power To Help,http://fbcministries.net/sermons/050119MW-God_Hath_Power_To_Help.mp3
fbc-042819ss-the-salutation-of-paul,20190428,The Salutation Of Paul,http://fbcministries.net/sermons/042819SS-The_Salutation_Of_Paul.mp3
fbc-042419mw-thou-wilt-hear-and-help,20190424,Thou Wilt Hear And Help,http://fbcministries.net/sermons/042419MW-Thou_Wilt_Hear_And_Help.mp3
fbc-042119pm-thy-greatness,20190421,Thy Greatness,http://fbcministries.net/sermons/042119PM-Thy_Greatness.mp3
fbc-042119am-preached-through-jesus-the-resurrection-from-the-dead,20190421,Preached Through Jesus The Resurrection From The Dead,http://fbcministries.net/sermons/042119AM-Preached_Through_Jesus_The_Resurrection_From_The_Dead.mp3
fbc-041719mw-it-is-nothing-with-thee-to-help,20190417,It Is Nothing With Thee To Help,http://fbcministries.net/sermons/041719MW-It_Is_Nothing_With_Thee_To_Help.mp3
fbc-041419am-truly-this-man-was-the-son-of-god,20190414,Truly This Man Was The Son Of God,http://fbcministries.net/sermons/041419AM-Truly_This_Man_Was_The_Son_Of_God.mp3
fbc-041419ss-greetings-from-the-brethren,20190414,Greetings From The Brethren,http://fbcministries.net/sermons/041419SS-Greetings_From_The_Brethren.mp3
fbc-041019mw-i-am-helped,20190410,I Am Helped,http://fbcministries.net/sermons/041019MW-I_Am_Helped.mp3
fbc-040719pm-the-third-day,20190407,The Third Day,http://fbcministries.net/sermons/040719PM-The_Third_Day.mp3
fbc-040719ss-a-final-charge,20190407,A Final Charge,http://fbcministries.net/sermons/040719SS-A_Final_Charge.mp3
fbc-040319mw-the-lord-helped-us,20190403,The Lord Helped Us,http://fbcministries.net/sermons/040319MW-The_Lord_Helped_Us.mp3
fbc-033119am-unto-him-that-is-able,20190331,Unto Him That Is Able,http://fbcministries.net/sermons/033119AM-Unto_Him_That_Is_Able.mp3
fbc-033119ss-partners-in-the-ministry,20190331,Partners In The Ministry,http://fbcministries.net/sermons/033119SS-Partners_In_The_Ministry.mp3
fbc-032719mw-the-lord-is-my-helper,20190327,The Lord Is My Helper,http://fbcministries.net/sermons/032719MW-The_Lord_Is_My_Helper.mp3
fbc-032419am-the-unsearchable-riches-of-christ,20190324,The Unsearchable Riches Of Christ,http://fbcministries.net/sermons/032419AM-The_Unsearchable_Riches_Of_Christ.mp3
fbc-032419ss-open-doors,20190324,Open Doors,http://fbcministries.net/sermons/032419SS-Open_Doors.mp3
fbc-032019mw-it-is-worth-it,20190320,It Is Worth It,http://fbcministries.net/sermons/032019MW-It_Is_Worth_It.mp3
fbc-031719am-the-household-of-god,20190317,The Household Of God,http://fbcministries.net/sermons/031719AM-The_Household_Of_God.mp3
fbc-031719ss-the-collection-for-the-saints,20190317,The Collection For The Saints,http://fbcministries.net/sermons/031719SS-The_Collection_For_The_Saints.mp3
fbc-031319mw-that-ye-may-grow,20190313,That Ye May Grow,http://fbcministries.net/sermons/031319MW-That_Ye_May_Grow.mp3
