video_id,title,description,publish_date,duration,view_count,like_count,url,thumbnail,processing_status,processing_date,transcript_path,embeddings_status,embeddings_date,embeddings_count
nAg0uoCzhe8,"""My Cup Runneth Over - Part 2"" Psalm 23:5","Fellowship Baptist Church - Oakton, VA 
November 19, 2023 (Evening Worship)",20231120,2091,17,0,https://www.youtube.com/watch?v=nAg0uoCzhe8,https://i.ytimg.com/vi/nAg0uoCzhe8/maxresdefault.jpg,processed,2025-04-15T10:49:42.593114,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\nAg0uoCzhe8.json,pending,,0
oZlLM5d6rzk,"""My Cup Runneth Over - Part 1"" Psalm 23:5","Fellowship Baptist Church - Oakton, VA 
November 19, 2023 (Morning Worship)",20231120,3111,16,0,https://www.youtube.com/watch?v=oZlLM5d6rzk,https://i.ytimg.com/vi/oZlLM5d6rzk/maxresdefault.jpg,processed,2025-04-15T10:55:12.813635,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\oZlLM5d6rzk.json,pending,,0
2cDKZaPlI5s,"""The Seven Years Of Dearth Began"" Genesis 41:53-57","Fellowship Baptist Church - Oakton, VA 
November 12, 2023 (Evening Worship)",20231115,2510,3,0,https://www.youtube.com/watch?v=2cDKZaPlI5s,https://i.ytimg.com/vi/2cDKZaPlI5s/maxresdefault.jpg,processed,2025-04-15T10:59:43.268739,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\2cDKZaPlI5s.json,pending,,0
EYFIfx9U54k,"""A Life Marked By Prayer"" Ephesians 6:10-20","Fellowship Baptist Church - Oakton, VA 
November 12, 2023 (Morning Worship)",20231115,3044,9,0,https://www.youtube.com/watch?v=EYFIfx9U54k,https://i.ytimg.com/vi/EYFIfx9U54k/maxresdefault.jpg,in_progress,2025-04-15T10:59:43.302598,,pending,,0
CECxpbAod2A,"""Fruitful In The Land Of Affliction"" Genesis 41:44-53","Fellowship Baptist Church - Oakton, VA 
November 5, 2023 (Evening Worship)",20231106,2853,4,0,https://www.youtube.com/watch?v=CECxpbAod2A,https://i.ytimg.com/vi/CECxpbAod2A/maxresdefault.jpg,processed,2025-04-15T23:24:23.797950,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\CECxpbAod2A.json,pending,,0
__bA4Uw99tw,"""The Secret Was Revealed Unto Daniel"" Daniel 2:7-23","Fellowship Baptist Church - Oakton, VA 
November 5, 2023 (Morning Worship)",20231106,2997,15,0,https://www.youtube.com/watch?v=__bA4Uw99tw,https://i.ytimg.com/vi/__bA4Uw99tw/maxresdefault.jpg,processed,2025-04-15T23:29:26.762615,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\__bA4Uw99tw.json,pending,,0
qmma5NLlSAk,"""This Poor Man Cried"" Psalm 34","Fellowship Baptist Church - Oakton, VA 
October 29, 2023 (Morning Worship)",20231029,3004,17,0,https://www.youtube.com/watch?v=qmma5NLlSAk,https://i.ytimg.com/vi/qmma5NLlSAk/maxresdefault.jpg,processed,2025-04-15T23:34:38.645937,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\qmma5NLlSAk.json,pending,,0
2RltBTO3zYE,"""Consider Christ"" Hebrews 12:3","Fellowship Baptist Church - Oakton, VA 
October 15, 2023 (Morning Worship)",20231016,3092,17,0,https://www.youtube.com/watch?v=2RltBTO3zYE,https://i.ytimg.com/vi/2RltBTO3zYE/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-CYAC0AWKAgwIABABGGUgXihHMA8=&rs=AOn4CLAnpKaY_JrwBbx4_2VKUPb3KaCArg,processed,2025-04-15T23:40:06.200173,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\2RltBTO3zYE.json,pending,,0
2lrMTFH91C8,"""Pharaoh Sent And Called Joseph"" Genesis 41:1-32","Fellowship Baptist Church - Oakton, VA 
October 15, 2023 (Evening Worship)",20231016,2673,6,0,https://www.youtube.com/watch?v=2lrMTFH91C8,https://i.ytimg.com/vi/2lrMTFH91C8/maxresdefault.jpg,processed,2025-04-15T23:44:44.151182,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\2lrMTFH91C8.json,pending,,0
EoTOjgo0SqY,"""Faithful Through Trials"" Genesis 40:1-23","Fellowship Baptist Church - Oakton, VA 
October 1, 2023 (Evening Worship)",20231003,3026,5,0,https://www.youtube.com/watch?v=EoTOjgo0SqY,https://i.ytimg.com/vi/EoTOjgo0SqY/maxresdefault.jpg,processed,2025-04-15T23:49:42.549684,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\EoTOjgo0SqY.json,pending,,0
qwt_XuUQD9E,"""Rejoicing Through Trials"" I Peter 1:3-9","Fellowship Baptist Church - Oakton, VA 
October 1, 2023 (Morning Worship)",20231003,2947,9,0,https://www.youtube.com/watch?v=qwt_XuUQD9E,https://i.ytimg.com/vi/qwt_XuUQD9E/maxresdefault.jpg,processed,2025-04-15T23:54:35.928296,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\qwt_XuUQD9E.json,pending,,0
Z5mR0aZmD9U,"""The Choice Is Yours"" Joshua 24:14-16","Fellowship Baptist Church - Oakton, VA 
September 24, 2023 (Morning Worship)",20230925,2979,7,0,https://www.youtube.com/watch?v=Z5mR0aZmD9U,https://i.ytimg.com/vi/Z5mR0aZmD9U/maxresdefault.jpg,processed,2025-04-15T23:59:43.622550,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\Z5mR0aZmD9U.json,pending,,0
pKSibA3D-2M,"FBC Oakton, VA - Fall Revival - Paul Mershon (Tuesday Evening)",,20230921,2917,8,0,https://www.youtube.com/watch?v=pKSibA3D-2M,https://i.ytimg.com/vi/pKSibA3D-2M/maxresdefault.jpg,processed,2025-04-16T00:04:48.113328,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\pKSibA3D-2M.json,pending,,0
9S2PoEx7Gq0,"FBC Oakton, VA - Fall Revival - Paul Mershon (Wednesday Evening)",,20230921,2510,9,0,https://www.youtube.com/watch?v=9S2PoEx7Gq0,https://i.ytimg.com/vi/9S2PoEx7Gq0/maxresdefault.jpg,processed,2025-04-16T00:09:16.619539,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\9S2PoEx7Gq0.json,pending,,0
54WCk41oLBM,"FBC Oakton, VA - Fall Revival - Paul Mershon (Monday Evening)",,20230919,3258,4,0,https://www.youtube.com/watch?v=54WCk41oLBM,https://i.ytimg.com/vi/54WCk41oLBM/maxresdefault.jpg,processed,2025-04-16T00:15:05.668115,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\54WCk41oLBM.json,pending,,0
zAAeXH-9tS0,"FBC Oakton, VA - Fall Revival - Paul Mershon (Morning Worship)",,20230919,3154,12,1,https://www.youtube.com/watch?v=zAAeXH-9tS0,https://i.ytimg.com/vi/zAAeXH-9tS0/maxresdefault.jpg,processed,2025-04-16T00:20:40.473112,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\zAAeXH-9tS0.json,pending,,0
VXXPWmtdQok,"FBC Oakton, VA - Fall Revival - Paul Mershon (Evening Worship)",,20230919,2954,5,0,https://www.youtube.com/watch?v=VXXPWmtdQok,https://i.ytimg.com/vi/VXXPWmtdQok/maxresdefault.jpg,processed,2025-04-16T00:26:21.220476,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\VXXPWmtdQok.json,pending,,0
ecW69mkE0VU,"FBC Oakton, VA - Fall Revival - Paul Mershon (Sunday School)",,20230919,2407,4,0,https://www.youtube.com/watch?v=ecW69mkE0VU,https://i.ytimg.com/vi/ecW69mkE0VU/maxresdefault.jpg,processed,2025-04-16T00:30:52.407114,C:\Users\rdw71\Documents\Python\sermon-library\transcription\data\transcripts\ecW69mkE0VU.json,pending,,0
